GAI,lemp1,HHI,ltdc,lni
1.202322,7.1122465,1,8.1303291,11.342422
4.1547222,6.7794414,1,8.7330074,12.266344
2.4750483,2.0827043,1,8.076664,10.776161
5.561501,5.0873013,1,8.486701,12.347134
3.0402358,8.5532274,.52555716,9.2192545,13.817608
2.1914418,9.4077272,.37132907,9.5378304,14.812459
1.5848709,6.2587762,1,8.3493748,12.660566
1.5041299,6.4947548,.54839444,7.9684076,10.483913
2.0514035,6.7794414,1,9.4667416,12.969445
3.3544378,5.3491955,.54869348,9.3087034,11.352416
2.7800987,7.2870116,.64272523,8.0784397,10.995612
2.4964921,5.3825917,1,7.5574055,12.382556
.83797443,7.4341726,1,8.6232252,13.032927
1.2205234,4.4642777,1,7.4443989,9.985528
1.2830631,8.9972858,.83179164,10.096638,16.597431
3.5159202,6.4917593,1,9.3712387,13.100118
2.3620756,3.8698869,1,8.6094131,12.255905
3.9216509,5.4884572,.57639569,8.1674252,11.058795
3.5966611,9.7619619,1,9.3577585,13.885036
1.3820055,6.2781534,1,9.0486326,11.0682
1.5848709,7.0887628,1,8.4966612,12.150513
2.9001975,8.357337,.71169037,9.4162521,12.93002
1.9078352,6.2892351,1,7.8872557,11.197461
2.581219,6.9501333,1,9.6222734,14.526154
1.4233887,6.7794414,1,8.0695963,10.99993
2.2721829,5.5122628,.68830812,8.4868641,12.232227
1.7463531,7.7697725,1,8.3603868,12.78493
1.7463531,9.3041697,.59255016,9.978261,14.902388
1.9885763,8.3635616,1,9.0907669,14.344608
3.9124992,8.0141859,.92593336,8.0425768,11.457085
.97830009,6.2596173,.95352322,7.3373919,12.671284
2.1914418,8.378829,.77941042,8.5201273,13.466906
1.6060274,8.8896551,1,9.785387,12.634604
2.0299597,6.6021075,1,8.7712631,11.878957
1.4627466,5.8631506,1,8.532548,12.753365
1.6242287,7.9503746,1,8.4039145,13.552841
2.3943071,7.2764215,.82175457,8.5660963,11.183031
1.9706624,7.8045864,.63237017,8.8277664,12.718896
1.202322,6.3094378,1,9.2369986,13.021079
1.9885763,5.9798222,1,7.4249167,10.232395
1.5041299,6.0655813,.81536776,7.906846,11.993913
1.1397823,8.5264654,.53544599,7.2010531,10.968612
1.6079508,3.9576626,1,9.3026686,13.69193
.79861665,8.4376698,1,7.819819,13.359804
1.2205234,6.6077633,.99107647,8.2147226,12.953294
2.1914418,7.7306166,1,9.0326376,13.147936
.59575117,7.0025849,.95077711,9.1325617,10.772687
2.0438876,9.7998667,1,9.2318525,14.154836
3.6288927,5.6947322,.98997366,9.196496,13.514542
2.5681834,7.3896146,1,8.1912975,10.797267
2.1107006,7.0418057,.64739847,8.679801,11.56586
2.5951471,7.7301335,1,9.0700932,13.438761
3.831758,9.9364424,1,9.0212603,13.100118
.59575117,1.6840651,1,7.7262325,10.804949
1.6079508,7.4850111,.58358335,8.7309065,12.532855
2.2698328,6.972126,.42606309,8.8278503,12.770818
2.0693173,8.5712013,.2630479,9.3860273,14.456838
1.1397823,6.4227667,.45350653,8.2807627,12.192481
4.7219353,6.4917593,.38795006,8.7635956,10.44258
2.7478671,5.2692833,1,7.9298019,12.179405
1.4627466,9.3756285,.83598256,9.5910683,16.250877
2.2721829,5.9669476,1,8.468441,11.19021
2.3653181,3.5913374,1,7.8480701,11.688767
3.0223217,8.5958939,1,9.57901,13.027173
1.3426478,6.8633227,1,8.4637194,11.756656
2.3350101,8.067296,.76318806,9.1689587,12.056911
1.5848709,9.5449743,.53991961,9.7122421,16.550463
1.0316881,9.6344738,.31828499,9.7544374,14.262117
3.081619,6.4715567,1,9.0339489,12.810821
2.3943071,6.3597507,.55337006,8.5610695,11.009374
1.4233887,6.59762,1,8.9746828,13.088806
3.332994,5.5458684,1,8.0435143,12.584266
1.5252863,8.2138414,1,9.1105433,13.32775
3.0402358,8.4611998,1,9.4059477,13.828426
2.2721829,6.1350846,.65061176,8.1676884,12.331312
2.9507325,5.6126842,1,8.0164967,10.832478
1.9078352,5.2434864,1,7.9207897,10.247999
1.2527549,5.8242798,.91798222,7.9999757,11.827006
.91871548,6.6878743,1,9.3205156,13.393271
1.5041299,5.6555114,1,7.2549238,11.529645
1.7069952,5.1054649,1,8.4058218,5.6937323
2.6671259,6.2040772,1,7.7461257,10.056895
1.9078352,7.6957321,.49876532,9.2366791,12.691888
1.9706624,6.7475638,.83796978,9.7930975,13.595978
2.0514035,7.2877641,.51405907,8.9146128,12.555496
2.3975496,9.1761999,.58613384,10.209799,14.041051
3.9124992,7.0025849,1,8.5822268,11.755699
2.2220373,6.931304,1,9.3917007,13.958745
.59575117,5.9809337,.96297848,9.2454329,9.7460728
3.9124992,7.5154085,.50588596,8.4557638,12.468437
.89755905,5.4419374,.50287032,7.8411427,10.742011
1.8899213,4.9029408,.94986373,9.2776899,11.094238
4.7219353,5.5754685,1,7.4508672,10.724632
1.7463531,7.0978951,1,8.5114279,11.058795
2.0514035,8.7943449,1,9.2791796,14.284889
3.4674106,8.1339874,1,9.1844406,12.819678
3.6074488,7.0025849,1,8.6841822,12.904456
1.5848709,8.919508,.96630579,9.3303938,14.62999
2.7247872,6.4404659,1,8.4285574,11.474985
2.8194563,8.919508,1,9.8983965,15.306615
2.1107006,6.0553193,.55433619,8.6213531,11.826209
1.4233887,6.1690259,.59608215,7.3644228,11.34569
3.3866694,8.6120234,1,8.6339674,12.801916
2.7980125,8.1594658,1,9.1482334,14.879876
2.1914418,6.7290688,.7793451,8.1680059,11.825544
1.5434877,6.2260561,1,7.8228679,11.167657
2.433665,9.193635,.34255365,9.6485891,15.390978
1.7463531,7.0694022,.41203046,7.2037544,11.78967
3.5481515,7.3390574,.542328,9.4936628,13.321215
2.3620756,5.5586615,.5707919,8.1999893,9.7848167
1.3012645,4.7861776,.4035463,6.5357275,10.608958
2.9415808,4.5957499,1,8.4047003,9.594718
1.665612,4.6909595,.9664048,8.466794,12.106031
.816818,5.9697604,1,9.0659227,11.054788
3.4674106,7.5449095,.22898814,9.5740948,12.765689
.59575117,7.4472709,1,9.4808235,12.301383
1.5041299,5.6082587,.51492763,7.7559323,10.345638
1.6242287,8.9584455,1,10.679041,15.13993
3.264545,6.5296974,1,8.4924994,12.260139
1.665612,8.9835863,.94307876,7.8669944,13.304685
1.2416798,8.1162834,1,8.8469238,14.257629
3.5481515,5.9809337,.50695586,8.0799923,9.9980698
1.3820055,4.79531,.80379575,7.4761858,10.716504
4.608963,6.7722912,.82355708,9.161108,13.685954
2.0605552,6.7276216,1,8.0308151,12.565494
2.9809384,8.8743877,.30337128,9.6674881,14.503645
3.0008779,7.7155347,1,8.9635849,11.890676
.816818,5.1749911,1,7.657434,11.926418
1.7463531,7.8654752,.51998317,9.0973368,12.787335
1.4627466,7.0978951,.44868866,8.8597708,12.350221
3.1193409,7.4588065,1,9.0980463,13.267329
2.616591,5.5603552,.7408275,8.1041079,12.408919
2.415751,6.7918639,.91834003,9.0929699,11.546448
2.5863848,7.9958367,1,8.9182291,11.81303
1.1397823,6.404748,1,7.7712326,10.327513
3.5660655,8.5416002,.86801821,9.574523,14.15626
1.4627466,7.835494,.62747401,8.7609348,14.288011
4.0831327,7.835494,1,9.3167744,13.696727
4.6483202,7.5557227,1,9.3931732,14.115615
1.3820055,3.903712,1,5.8997331,9.799737
1.5940228,3.2935028,1,8.0986786,11.117435
.97830009,5.9646916,.65992016,8.241024,10.650625
1.0408399,7.3026896,1,7.9578247,13.536855
2.828608,6.7014799,.93993068,8.619853,12.771386
1.7555048,7.2493668,1,9.2088585,13.432785
1.9078352,9.283947,1,9.5750809,15.75569
1.9706624,8.0932322,1,9.5103483,14.63485
1.665612,8.2322254,1,9.3515778,13.257593
1.5041299,5.364233,1,8.0280094,11.827817
1.5041299,5.9527631,.95656931,6.8614068,10.905185
2.3350101,4.8414993,1,8.5174856,10.86044
2.4964921,5.9231868,1,8.2732925,11.133011
2.0514035,4.6241984,.47743377,7.7809968,10.364513
2.5772333,6.3455768,.91523087,8.4971342,12.697716
1.2619066,5.7306905,1,7.6963725,9.1526051
3.2017179,9.4004803,.48390979,9.8139248,15.76655
2.6579742,5.3248682,1,8.5648823,9.6907892
1.5041299,7.2668705,.9261182,9.1277466,14.333709
2.0299597,6.2133675,.95404822,8.9789591,13.110473
2.3350101,5.7942696,1,7.238348,8.6406488
1.9492185,5.2647457,.96023524,8.1399231,12.248653
1.9706624,7.0978951,.83156407,8.6397877,13.126635
1.9885763,7.294807,1,8.6813736,12.779099
1.5041299,4.6067877,.36802137,7.2299504,8.4713583
.97830009,7.9580965,1,9.2241249,13.000422
2.6042988,9.1942387,1,10.015309,12.016515
1.5848709,7.8135152,.50822228,8.8955898,13.626286
2.7064838,5.7296195,.50843859,7.7396679,10.743329
3.0008779,7.1219668,1,8.2024155,11.932615
1.0801976,9.054141,1,9.225996,13.835961
1.5940228,.78797692,1,8.5282383,10.858326
.89755905,5.7935996,1,7.437604,12.71185
1.2205234,6.4628453,.77411067,8.6091652,13.522481
1.9885763,9.2538767,.52839112,8.5801268,14.544024
1.1397823,6.8860512,1,8.4286203,10.609057
2.83776,4.9889312,1,8.2883663,9.3498411
3.081619,7.8690553,.53509957,8.8546,12.362102
2.7172713,8.4063759,.99911851,9.4325209,13.86796
3.4459667,7.2952547,1,8.6742239,12.552849
2.7172713,6.6329699,1,8.8875971,13.442561
2.3943071,7.1423469,.53429824,9.2445755,13.07883
1.5434877,7.7445226,1,8.7140999,12.42976
1.2205234,4.3714957,.63462675,7.2789726,11.562735
1.8270942,7.246942,1,9.1451817,13.940379
1.0590413,4.3532753,1,7.5954947,11.010134
2.9686465,7.984776,.9828918,9.3061008,14.699691
1.9169869,8.6036482,1,8.6855764,14.595294
.97830009,5.9237752,.60144567,6.8780699,10.736788
1.1931703,5.7473187,.9756152,9.1044569,12.271434
2.6186166,6.3292403,.43416986,7.854939,10.910405
4.2446151,8.6367159,.5387376,9.4019566,13.691873
2.1107006,5.428997,1,8.2137241,11.238068
4.4060974,6.3677068,.88693672,9.2592831,14.086487
2.4964921,6.6878743,.99133462,8.5707169,13.812506
2.4964921,5.4537716,.97759628,7.8273315,11.03692
3.9701605,5.8151417,1,8.2097502,10.083473
1.8270942,8.6454573,.81139845,8.6621056,13.439759
1.2205234,6.0118403,1,8.4996252,12.063932
1.3820055,6.4749522,.55110717,7.0164008,10.096048
3.0708313,7.201436,1,8.5990162,12.408454
1.7495955,7.0418057,1,8.3555498,12.296996
1.3426478,5.8518372,1,8.2836571,10.376238
2.3135662,8.1011972,1,8.948184,12.417144
1.3012645,6.1109872,.95020467,8.5701475,12.237945
1.3820055,8.1004305,1,9.6099119,14.909445
1.0590413,7.0466018,.97226596,8.8863182,12.202992
.75723338,5.393147,1,8.5539846,11.098758
1.0590413,5.8362293,.67402947,8.6310272,13.175145
1.9078352,6.6277461,.97886866,8.5567961,12.213996
1.9492185,7.7924051,.42604282,9.0039959,13.587982
.97830009,5.9770374,1,8.1449451,11.080125
1.4627466,9.4273882,.95841134,9.2354727,14.014361
3.5159202,9.1308165,1,9.6135387,15.808849
2.415751,7.3078613,.53056461,8.7362003,12.54611
2.1107006,6.8860512,.55763024,8.9551344,13.80647
.83797443,7.1849065,.91541749,7.6527381,11.730445
3.3937955,6.8432374,1,8.7581091,13.353476
1.4859285,5.1768551,1,8.9047279,12.737826
1.5848709,9.9842186,.50004035,9.2636023,15.844711
1.5848709,7.8780537,1,8.1688938,11.59925
2.9738123,9.0121403,.99766922,10.195168,13.430624
2.3943071,7.0699635,.64281958,8.0651407,10.599555
2.2721829,7.1096439,1,9.1157103,12.897985
2.1107006,6.6878743,1,8.9235935,12.927527
3.8894193,6.1083002,1,9.2233753,13.541645
.75723338,3.8629825,1,7.6039891,10.710119
1.5041299,5.1246138,.50015163,8.2343845,11.794934
1.5434877,5.3616567,.96212131,8.15065,11.721784
.816818,6.3094378,1,9.0132961,12.060637
1.7463531,3.5352478,1,8.2586803,12.068831
1.6474106,9.036624,1,9.368042,14.197366
6.9958882,5.4537716,.34904245,7.3509998,11.574613
1.9078352,9.2747107,1,9.5040054,13.570888
3.4674106,6.8333378,.98659152,9.3284149,13.369692
5.0289459,6.1036429,.97331887,8.453536,12.869791
1.2205234,6.5794649,.92522871,9.2196674,11.718312
1.7463531,6.639461,1,8.5920525,12.108747
1.7463531,7.0025849,.49298719,8.331459,11.875587
4.2140198,9.6670313,.47396737,9.2698431,13.068963
3.5895348,8.1750669,1,8.5593987,6.5510802
2.0299597,7.2877641,.50664687,7.4701514,12.343658
1.4266312,4.0266557,1,6.1346188,9.6718702
2.0514035,5.1027946,.35823038,7.3171601,10.295529
2.1321445,6.5584831,1,7.1206675,11.433189
.78946483,6.5834265,.84577954,8.6979675,11.216472
1.1397823,6.4616437,1,8.242856,12.26066
4.3253565,8.9766665,.86155885,9.2503023,14.503645
2.7800987,8.2807369,1,9.0626507,11.869712
2.9001975,8.7292366,1,10.004059,15.628216
1.5848709,6.4915929,1,9.0468817,14.016817
4.8603377,1.9193792,1,8.4740763,12.195193
2.0299597,9.470685,.6750831,9.8143435,16.316372
3.7903748,9.6126547,1,10.624296,16.001675
4.3345079,6.8972244,1,8.6849756,12.490258
2.0299597,6.2826834,1,8.7838106,13.163434
.51501012,4.3673205,1,7.4760141,5.0625949
3.6380444,4.105793,1,8.2249737,10.397543
1.1397823,6.0190854,1,6.2868505,10.398092
1.6242287,7.2116299,.65386927,8.6827459,11.725728
.75723338,6.4227667,1,7.5769358,10.980587
1.5848709,7.6069012,1,7.7186871,11.676888
1.2205234,6.0609765,1,9.1538296,12.802618
2.9415808,4.155273,1,7.5770707,10.478415
1.8091803,6.7584734,.79425865,9.1731091,12.076163
